#,Topic,Question ,Link
1,1,1,https://www.examtopics.com/discussions/google/view/7083-exam-professional-cloud-architect-topic-1-question-1/
2,1,2,https://www.examtopics.com/discussions/google/view/7080-exam-professional-cloud-architect-topic-1-question-2/
3,1,3,https://www.examtopics.com/discussions/google/view/54378-exam-professional-cloud-architect-topic-1-question-3/
4,1,4,https://www.examtopics.com/discussions/google/view/7085-exam-professional-cloud-architect-topic-1-question-4/
5,1,5,https://www.examtopics.com/discussions/google/view/6837-exam-professional-cloud-architect-topic-1-question-5/
6,1,6,https://www.examtopics.com/discussions/google/view/54383-exam-professional-cloud-architect-topic-1-question-6/
7,1,7,https://www.examtopics.com/discussions/google/view/54304-exam-professional-cloud-architect-topic-1-question-7/
8,1,8,https://www.examtopics.com/discussions/google/view/7126-exam-professional-cloud-architect-topic-1-question-8/
9,1,9,https://www.examtopics.com/discussions/google/view/7130-exam-professional-cloud-architect-topic-1-question-9/
10,1,10,https://www.examtopics.com/discussions/google/view/7041-exam-professional-cloud-architect-topic-1-question-10/
11,1,11,https://www.examtopics.com/discussions/google/view/7133-exam-professional-cloud-architect-topic-1-question-11/
12,1,12,https://www.examtopics.com/discussions/google/view/7134-exam-professional-cloud-architect-topic-1-question-12/
13,1,13,https://www.examtopics.com/discussions/google/view/7137-exam-professional-cloud-architect-topic-1-question-13/
14,1,14,https://www.examtopics.com/discussions/google/view/7142-exam-professional-cloud-architect-topic-1-question-14/
15,1,15,https://www.examtopics.com/discussions/google/view/7147-exam-professional-cloud-architect-topic-1-question-15/
16,1,16,https://www.examtopics.com/discussions/google/view/20238-exam-professional-cloud-architect-topic-1-question-16/
17,1,17,https://www.examtopics.com/discussions/google/view/7150-exam-professional-cloud-architect-topic-1-question-17/
18,1,18,https://www.examtopics.com/discussions/google/view/7154-exam-professional-cloud-architect-topic-1-question-18/
19,1,19,https://www.examtopics.com/discussions/google/view/7161-exam-professional-cloud-architect-topic-1-question-19/
20,1,20,https://www.examtopics.com/discussions/google/view/22386-exam-professional-cloud-architect-topic-1-question-20/
21,1,21,https://www.examtopics.com/discussions/google/view/7128-exam-professional-cloud-architect-topic-1-question-21/
22,1,22,https://www.examtopics.com/discussions/google/view/54406-exam-professional-cloud-architect-topic-1-question-22/
23,1,23,https://www.examtopics.com/discussions/google/view/7167-exam-professional-cloud-architect-topic-1-question-23/
24,1,24,https://www.examtopics.com/discussions/google/view/10898-exam-professional-cloud-architect-topic-1-question-24/
